90th percentile(abs),95th percentile(abs),99th percentile(abs),abs_max,abs_min,computeMappingTime,constraint,count,globalTime,initializeTime,mapDataTime,mapping,median(abs),mesh A,mesh B,peakMemA,peakMemB,ranks A,ranks B,relative-l2,signed_max,signed_min:
0.3038317790986722,0.35333044491713067,0.5012290423233094,0.5382178527694188,0.0,262.0,consistent,379,102735.0,87690.0,0.0,nn,0.11016760211489429,0.0775,0.06,58628.0,60004.0,1,1,0.17936668128029196,0.49711946160821224,-0.5382178527694188
0.43245718163117763,0.5388202059944004,0.698304666435222,0.824788344241042,0.0,148.0,consistent,379,103455.0,89284.0,0.0,nn,0.15246819890057667,0.1,0.06,59004.0,60412.0,1,1,0.26058329957774534,0.824788344241042,-0.7153703198628486
0.2392295056694197,0.2799538736319759,0.32988106626374547,0.3870740124781874,0.0,212.0,consistent,379,102215.0,87925.0,1.0,nn,0.07310420074125856,0.055,0.06,58388.0,59908.0,1,1,0.13258223964146829,0.31458042815442605,-0.3870740124781874
0.04428547928971258,0.048510471383534516,0.05995342624331656,0.07718723911542735,0.0,1690.0,consistent,379,29951.0,12520.0,0.0,nn,0.014370679410912968,0.01,0.06,62352.0,61568.0,1,1,0.025125668966371924,0.05912354325272928,-0.07718723911542735
0.15060218440535855,0.17147866598725522,0.20892056618072244,0.23085209426944897,0.0,295.0,consistent,379,60284.0,45692.0,0.0,nn,0.05242367486611488,0.0325,0.06,59176.0,59688.0,1,1,0.08720067424142296,0.23085209426944897,-0.2137327834347511
0.43575875751204596,0.5190486530774208,0.5974274298031211,0.6765625606019803,0.0,1193.0,consistent,379,102058.0,87461.0,39.0,tps-c2-0.1,0.2042843467046626,0.0775,0.06,58496.0,59852.0,1,1,0.27267910250804467,0.62582166103275,-0.6765625606019803
0.8074336107775725,0.8761972082664904,0.9559364293707445,1.0180220845881545,0.0,903.0,consistent,379,102156.0,87696.0,35.0,tps-c2-0.1,0.3802847538537446,0.1,0.06,59268.0,59624.0,1,1,0.4972991581838501,1.0180220845881545,-0.9552143734735155
0.11069937402407828,0.12701914218427154,0.14585614714464656,0.16430179441637416,6.938893903907228e-18,2182.0,consistent,379,111635.0,97201.0,74.0,tps-c2-0.1,0.04799164236060226,0.055,0.06,59000.0,61164.0,1,1,0.06791379490148536,0.16430179441637416,-0.14360219811907582
0.00017678147243060935,0.00023390191970140966,0.00039471760987526113,0.0005025615909455272,2.0816681711721685e-17,33010.0,consistent,379,65305.0,47874.0,1612.0,tps-c2-0.1,3.520506189443051e-05,0.01,0.06,62156.0,81608.0,1,1,0.00010366308902737303,0.0005025615909455272,-0.000438803325343462
0.009171826885513728,0.010240984082273866,0.012660874222658589,0.016001044440760115,0.0,4431.0,consistent,379,66259.0,51484.0,143.0,tps-c2-0.1,0.0033312164928858135,0.0325,0.06,58936.0,62528.0,1,1,0.005377164975732819,0.013926202982365937,-0.016001044440760115
0.7352101176489485,0.794721630459874,0.9034210609696729,0.9442873351677309,0.0,1012.0,consistent,379,102702.0,87487.0,37.0,tps-c2-0.05,0.3700393441873169,0.0775,0.06,59088.0,59880.0,1,1,0.46371683746857806,0.9047428161056279,-0.9442873351677309
0.9891689678617599,1.0414777118632261,1.0956300297633321,1.118445202729924,0.0,755.0,consistent,379,105533.0,91402.0,26.0,tps-c2-0.05,0.5548443088433617,0.1,0.06,58872.0,60400.0,1,1,0.6302252751324035,1.118445202729924,-1.0770210189239573
0.4061979520531003,0.4724475129290597,0.5593744814812345,0.6223580740840062,6.938893903907228e-18,1872.0,consistent,379,103384.0,88904.0,82.0,tps-c2-0.05,0.19494633366647157,0.055,0.06,59640.0,61176.0,1,1,0.2571319804913874,0.6223580740840062,-0.5557928274828741
0.00033920403772426665,0.0004457470606957045,0.0006488559550979459,0.000850113978843714,6.938893903907228e-18,35582.0,consistent,379,64042.0,46520.0,1553.0,tps-c2-0.05,7.966871107889517e-05,0.01,0.06,61332.0,81948.0,1,1,0.0001996082417183584,0.000850113978843714,-0.0006714128335110203
0.08837773941355218,0.09761958088314575,0.1236917525404348,0.1307328305971025,0.0,4031.0,consistent,379,71432.0,56590.0,156.0,tps-c2-0.05,0.03565199971423838,0.0325,0.06,58832.0,60904.0,1,1,0.05290448715302394,0.1307328305971025,-0.12455445591531178
0.0933333807685899,0.10318153890833336,0.12320825504390659,0.14787067076156335,0.0,685.0,consistent,379,107437.0,93224.0,4.0,np,0.03759247459889595,0.0775,0.06,59188.0,60204.0,1,1,0.05551737427657728,0.14787067076156335,-0.11751602320586452
0.1475268934023099,0.17789576172901256,0.20618437506819165,0.24370524328620502,0.0,646.0,consistent,379,104181.0,89896.0,6.0,np,0.05919799243570811,0.1,0.06,58432.0,59824.0,1,1,0.08897802347563126,0.20701167246260724,-0.24370524328620502
0.039299034573997,0.046999692017448365,0.055675939544328965,0.06304617827967204,0.0,847.0,consistent,379,60102.0,45820.0,4.0,np,0.01843074816710777,0.055,0.06,60056.0,60288.0,1,1,0.024369988133901944,0.06304617827967204,-0.05531169259732449
0.0015622856340345658,0.0017384366726903321,0.002055483284391698,0.0023049995066564966,0.0,5630.0,consistent,379,98590.0,83610.0,8.0,np,0.0007032318796784676,0.01,0.06,70688.0,64600.0,1,1,0.0009274436692071664,0.0023049995066564966,-0.0022142679654248987
0.015388229529595555,0.01807293187256719,0.020057615988765102,0.023651037959075083,0.0,1137.0,consistent,379,72126.0,57578.0,6.0,np,0.006506997548244575,0.0325,0.06,60332.0,59976.0,1,1,0.009207168379835658,0.02084855064013072,-0.023651037959075083
